Element,Item,Year,Unit,Consumption Value,Import Quantity Value,Export Quantity Value,Population
Tourist consumption,"Cashew nuts, shelled",2014,tonnes,,,,
Tourist consumption,"Cashew nuts, shelled",2015,tonnes,,,,
Tourist consumption,"Cashew nuts, shelled",2016,tonnes,,,,
Tourist consumption,"Cashew nuts, with shell",2010,tonnes,0,,,
Tourist consumption,"Cashew nuts, with shell",2011,tonnes,0,,,
Tourist consumption,"Cashew nuts, with shell",2012,tonnes,0,,,
Tourist consumption,"Cashew nuts, with shell",2013,tonnes,0,,,
Tourist consumption,"Cashew nuts, with shell",2014,tonnes,,,,
Tourist consumption,"Cashew nuts, with shell",2015,tonnes,,,,
Tourist consumption,"Cashew nuts, with shell",2016,tonnes,,,,
Feed,Cassava dried,2010,tonnes,2065,,,
Feed,Cassava dried,2011,tonnes,2095,,,
Feed,Cassava dried,2012,tonnes,2224,,,
Feed,Cassava dried,2013,tonnes,2594,,,
Feed,Cassava dried,2014,tonnes,3520,,,
Feed,Cassava dried,2015,tonnes,3755,,,
Feed,Cassava dried,2016,tonnes,3822,,,
Feed,Cassava dried,2017,tonnes,3536,,,
Feed,Cassava dried,2018,tonnes,3448,,,
Feed,Cassava dried,2019,tonnes,3863,,,
Tourist consumption,Cassava leaves,2010,tonnes,0,,,
Tourist consumption,Cassava leaves,2011,tonnes,0,,,
Tourist consumption,Cassava leaves,2012,tonnes,0,,,
Tourist consumption,Cassava leaves,2013,tonnes,0,,,
Tourist consumption,Cassava leaves,2014,tonnes,,,,
Tourist consumption,Cassava leaves,2015,tonnes,,,,
Tourist consumption,Cassava leaves,2016,tonnes,,,,
Feed,Castor oil seed,2014,tonnes,,,,
Feed,Castor oil seed,2015,tonnes,,,,
Feed,Castor oil seed,2016,tonnes,,,,
Feed,Castor oil seed,2017,tonnes,,,,
Tourist consumption,Cauliflowers and broccoli,2010,tonnes,0,,,
Tourist consumption,Cauliflowers and broccoli,2011,tonnes,0,,,
Tourist consumption,Cauliflowers and broccoli,2012,tonnes,0,,,
Tourist consumption,Cauliflowers and broccoli,2013,tonnes,0,,,
Tourist consumption,Cauliflowers and broccoli,2014,tonnes,,,,
Tourist consumption,Cauliflowers and broccoli,2015,tonnes,,,,
Tourist consumption,Cauliflowers and broccoli,2016,tonnes,,,,
Feed,Cereal preparations nes,2010,tonnes,0,,,
Feed,Cereal preparations nes,2011,tonnes,0,,,
Feed,Cereal preparations nes,2012,tonnes,0,,,
Feed,Cereal preparations nes,2013,tonnes,0,,,
Feed,Cereal preparations nes,2014,tonnes,,,,
Feed,Cereal preparations nes,2015,tonnes,,,,
Feed,Cereal preparations nes,2016,tonnes,,,,
Feed,Cereal preparations nes,2018,tonnes,1,,,
Feed,Cereal preparations nes,2019,tonnes,4,,,
Tourist consumption,Cereal preparations nes,2010,tonnes,0,,,
Tourist consumption,Cereal preparations nes,2011,tonnes,0,,,
Tourist consumption,Cereal preparations nes,2012,tonnes,0,,,
Tourist consumption,Cereal preparations nes,2013,tonnes,0,,,
Tourist consumption,Cereal preparations nes,2014,tonnes,,,,
Tourist consumption,Cereal preparations nes,2015,tonnes,,,,
Tourist consumption,Cereal preparations nes,2016,tonnes,,,,
Feed,Cereals nes,2010,tonnes,0,,,
Feed,Cereals nes,2011,tonnes,0,,,
Feed,Cereals nes,2012,tonnes,771,,,
Feed,Cereals nes,2013,tonnes,153,,,
Feed,Cereals nes,2014,tonnes,947,,,
Feed,Cereals nes,2015,tonnes,1063,,,
Feed,Cereals nes,2016,tonnes,1075,,,
Feed,Cereals nes,2017,tonnes,1316,,,
Feed,Cereals nes,2018,tonnes,626,,,
Feed,Cereals nes,2019,tonnes,528,,,
Tourist consumption,"Cereals, breakfast",2010,tonnes,0,,,
Tourist consumption,"Cereals, breakfast",2011,tonnes,0,,,
Tourist consumption,"Cereals, breakfast",2012,tonnes,0,,,
Tourist consumption,"Cereals, breakfast",2013,tonnes,0,,,
Tourist consumption,"Cereals, breakfast",2014,tonnes,,,,
Tourist consumption,"Cereals, breakfast",2015,tonnes,,,,
Tourist consumption,"Cereals, breakfast",2016,tonnes,,,,
Tourist consumption,"Cheese, processed",2010,tonnes,0,,,
Tourist consumption,"Cheese, processed",2011,tonnes,0,,,
Tourist consumption,"Cheese, processed",2012,tonnes,0,,,
Tourist consumption,"Cheese, processed",2013,tonnes,0,,,
Tourist consumption,"Cheese, processed",2014,tonnes,,,,
Tourist consumption,"Cheese, processed",2015,tonnes,,,,
Tourist consumption,"Cheese, processed",2016,tonnes,,,,
Feed,"Cheese, sheep milk",2014,tonnes,,,,
Feed,"Cheese, sheep milk",2015,tonnes,,,,
Feed,"Cheese, sheep milk",2016,tonnes,,,,
Tourist consumption,"Cheese, sheep milk",2010,tonnes,0,,,
Tourist consumption,"Cheese, sheep milk",2011,tonnes,0,,,
Tourist consumption,"Cheese, sheep milk",2012,tonnes,0,,,
Tourist consumption,"Cheese, sheep milk",2013,tonnes,0,,,
Tourist consumption,"Cheese, sheep milk",2014,tonnes,,,,
Tourist consumption,"Cheese, sheep milk",2015,tonnes,,,,
